date,site,rgb,multispec,sunsens,project_path,image_load_status
20250619,Wangen Brüttisellen,M:\working_package_2\2024_dronecampaign\01_data\P1\wangen_zh\20250619,M:\working_package_2\2024_dronecampaign\01_data\Micasense\wangen_zh\20250619,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\WangenBrüttisellen_treenet\20250619\metashape_project_WangenBrüttisellen_treenet_20250619.psx,skipped (exists)
20250703,lwf_visp,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_visp\20250703,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_visp\20250703,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Visp_LWF\20250703\metashape_project_Visp_LWF_20250703.psx,skipped (exists)
20250703,treenet_salgesch,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_salgesch\20250703,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_salgesch\20250703,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Salgesch_treenet\20250703\metashape_project_Salgesch_treenet_20250703.psx,skipped (exists)
20250703,lwf_lens,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250703,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250703,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Lens_LWF\20250703\metashape_project_Lens_LWF_20250703.psx,skipped (exists)
20250704,Illgraben,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250704,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250704,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Illgraben\20250704\metashape_project_Illgraben_20250704.psx,skipped (exists)
20250704,Pfynwald,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250704,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250704,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Pfynwald\20250704\metashape_project_Pfynwald_20250704.psx,skipped (exists)
20250710,Stillberg,M:\working_package_2\2024_dronecampaign\01_data\P1\Stillberg\20250710,M:\working_package_2\2024_dronecampaign\01_data\Micasense\stillberg\20250710,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Stillberg\20250710\metashape_project_Stillberg_20250710.psx,skipped (exists)
20250710,Martelloskop,M:\working_package_2\2024_dronecampaign\01_data\P1\marteloskop\20250710,M:\working_package_2\2024_dronecampaign\01_data\Micasense\marteloskop\20250710,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Marteloskop\20250710\metashape_project_Marteloskop_20250710.psx,skipped (exists)
20250710,LWF-Davos,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_davos\20250710,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_davos\20250710,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Davos_LWF\20250710\metashape_project_Davos_LWF_20250710.psx,skipped (exists)
20250711,lwf_isone,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_isone\20250711,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_isone\20250711,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Isone_LWF\20250711\metashape_project_Isone_LWF_20250711.psx,skipped (exists)
20250711,sagno,M:\working_package_2\2024_dronecampaign\01_data\P1\sagno\20250711,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sagno\20250711,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Sagno_treenet\20250711\metashape_project_Sagno_treenet_20250711.psx,skipped (exists)
