Label, Easting, Northing, Ellip Height
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0070_6.tif, 2613346.194918, 1128043.900901,   686.6611
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0071_6.tif, 2613347.622652, 1128048.043508,   686.6680
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0072_6.tif, 2613348.990056, 1128052.030429,   686.6599
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0073_6.tif, 2613351.378224, 1128058.987738,   686.6563
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0074_6.tif, 2613352.491470, 1128062.227585,   686.6598
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0075_6.tif, 2613353.996316, 1128066.625410,   686.6588
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0076_6.tif, 2613356.443724, 1128073.800431,   686.6587
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0077_6.tif, 2613358.028009, 1128078.454483,   686.6606
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0078_6.tif, 2613359.250051, 1128082.017906,   686.6564
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0079_6.tif, 2613361.153057, 1128087.525278,   686.6547
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0080_6.tif, 2613362.442318, 1128091.204142,   686.6596
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0081_6.tif, 2613364.301183, 1128096.577545,   686.6638
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0082_6.tif, 2613365.849749, 1128101.102166,   686.6660
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0083_6.tif, 2613366.962914, 1128104.438855,   686.6701
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0084_6.tif, 2613369.295880, 1128111.315997,   686.6744
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0085_6.tif, 2613370.231311, 1128114.014737,   686.6741
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0086_6.tif, 2613373.851849, 1128115.778110,   686.6342
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0087_6.tif, 2613376.322731, 1128114.833660,   686.6241
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0088_6.tif, 2613380.202333, 1128110.665420,   686.6395
